id1,id2,weight
0,1,1
0,2,1
1,3,1
1,4,1
2,5,1
2,6,1
3,7,1
3,8,1
4,9,1
4,10,1
5,11,1
5,12,1
6,13,1
6,14,1
7,15,1
7,16,1
8,17,1
8,18,1
9,19,1
9,20,1
10,21,1
10,22,1
11,23,1
11,24,1
12,25,1
12,26,1
13,27,1
13,28,1
14,29,1
14,30,1
15,31,1
15,32,1
16,33,1
16,34,1
17,35,1
17,36,1
18,37,1
18,38,1
19,39,1
19,40,1
20,41,1
20,42,1
21,43,1
21,44,1
22,45,1
22,46,1
23,47,1
23,48,1
24,49,1
24,50,1
25,51,1
25,52,1
26,53,1
26,54,1
27,55,1
27,56,1
28,57,1
28,58,1
29,59,1
29,60,1
30,61,1
30,62,1
31,63,1
31,64,1
32,65,1
32,66,1
33,67,1
33,68,1
34,69,1
34,70,1
35,71,1
35,72,1
36,73,1
36,74,1
37,75,1
37,76,1
38,77,1
38,78,1
39,79,1
39,80,1
40,81,1
40,82,1
41,83,1
41,84,1
42,85,1
42,86,1
43,87,1
43,88,1
44,89,1
44,90,1
45,91,1
45,92,1
46,93,1
46,94,1
47,95,1
47,96,1
48,97,1
48,98,1
49,99,1
49,100,1
50,101,1
50,102,1
51,103,1
51,104,1
52,105,1
52,106,1
53,107,1
53,108,1
54,109,1
54,110,1
55,111,1
55,112,1
56,113,1
56,114,1
57,115,1
57,116,1
58,117,1
58,118,1
59,119,1
59,120,1
60,121,1
60,122,1
61,123,1
61,124,1
62,125,1
62,126,1
63,127,1
63,128,1
64,129,1
64,130,1
65,131,1
65,132,1
66,133,1
66,134,1
67,135,1
67,136,1
68,137,1
68,138,1
69,139,1
69,140,1
70,141,1
70,142,1
71,143,1
71,144,1
72,145,1
72,146,1
73,147,1
73,148,1
74,149,1
74,150,1
75,151,1
75,152,1
76,153,1
76,154,1
77,155,1
77,156,1
78,157,1
78,158,1
79,159,1
79,160,1
80,161,1
80,162,1
81,163,1
81,164,1
82,165,1
82,166,1
83,167,1
83,168,1
84,169,1
84,170,1
85,171,1
85,172,1
86,173,1
86,174,1
87,175,1
87,176,1
88,177,1
88,178,1
89,179,1
89,180,1
90,181,1
90,182,1
91,183,1
91,184,1
92,185,1
92,186,1
93,187,1
93,188,1
94,189,1
94,190,1
95,191,1
95,192,1
96,193,1
96,194,1
97,195,1
97,196,1
98,197,1
98,198,1
99,199,1
99,200,1
100,201,1
100,202,1
101,203,1
101,204,1
102,205,1
102,206,1
103,207,1
103,208,1
104,209,1
104,210,1
105,211,1
105,212,1
106,213,1
106,214,1
107,215,1
107,216,1
108,217,1
108,218,1
109,219,1
109,220,1
110,221,1
110,222,1
111,223,1
111,224,1
112,225,1
112,226,1
113,227,1
113,228,1
114,229,1
114,230,1
115,231,1
115,232,1
116,233,1
116,234,1
117,235,1
117,236,1
118,237,1
118,238,1
119,239,1
119,240,1
120,241,1
120,242,1
121,243,1
121,244,1
122,245,1
122,246,1
123,247,1
123,248,1
124,249,1
124,250,1
125,251,1
125,252,1
126,253,1
126,254,1
127,255,1
